Puesto,Ciudad,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
,"San José, Costa Rica",7635,2437,5769,8457,6684,3748,2011
,"Zagreb, Croacia",7552,2482,5731,6797,5296,4854,2011
,"Lisboa, Portugal",7462,3022,5868,5276,5561,5682,2011
,"San Antonio, Texas, Estados Unidos",7437,3036,5857,6731,7649,11767,2011
,"Kansas City, Missouri, Estados Unidos",7437,4292,6308,6747,5798,9675,2011
,"Londrina, Brasil",7428,2658,5715,5330,4469,3458,2011
,"Moscú, Rusia",7418,6408,7055,4937,8215,3438,2011
,"Dubai, Emiratos Árabes Unidos",7417,7506,7449,5498,8410,13446,2011
,"Cleveland Ohio, Estados Unidos",7406,4112,6223,6582,6463,11943,2011
,"Estambul, Turquía",7377,3096,5839,6118,4697,6555,2011
,"Ciudad del Cabo, Sudáfrica",7373,2814,5736,5446,6042,9662,2011
,"Austin, Texas, Estados Unidos",7344,4662,6381,7361,6123,13052,2011
,"Riga, Letonia",7324,2103,5449,4888,7705,2964,2011
,"Liubliana, Eslovenia",7322,3459,5935,6015,5979,7005,2011
,"Detroit, Michigan, Estados Unidos",7240,3291,5822,6768,5906,9893,2011
,"Casablanca, Marruecos",7227,1797,5277,7458,5627,1193,2011
,"Montevideo, Uruguay",7207,1834,5278,6096,5239,4413,2011
,"Fresno, California, Estados Unidos",7161,3087,5698,7021,5664,9961,2011
,"Curitiba, Brasil",7135,2123,5336,4892,3462,4862,2011
,"Balneario Camboriú, Brasil",7081,2110,5296,4055,4342,8115,2011
,"Albuquerque, Nuevo México, Estados Unidos",7035,3554,5785,7564,5829,11679,2011
,"Johannesburgo, Sudáfrica",7030,4255,6033,5908,4873,4680,2011
,"Valencia, España",6830,2356,5223,4265,6471,7950,2011
,"Gaziantep, Turquía",6799,1007,4719,4787,4616,5626,2011
,"Santander, España",6795,3677,5675,5614,6227,6454,2011
,"Koper, Eslovenia",6753,2206,5120,7415,4088,5723,2011
,"Bakú, Azerbaiyán",6731,5950,6451,4697,5783,3296,2011
,"Bratislava, Eslovaquia",6685,2895,5324,5803,4656,6366,2011
,"Kingston upon Hull, Reino Unido",6679,2732,5262,5997,4646,9615,2011
,"Mugla, Turquía",6678,1722,4898,4705,4711,2825,2011
,"Seúl, Corea del Sur",6668,3271,5448,8128,5798,12408,2011
,"Santiago de Chile, Chile",6475,1806,4798,5249,5914,5749,2011
,"Belo Horizonte, Brasil",6473,2862,5176,3855,6018,6468,2011
,"Vitoria, Brasil",6427,1592,4691,4850,3895,3272,2011
,"Praga, República Checa",6422,3401,5337,5153,4332,6558,2011
,"Santo Domingo, República Dominicana",6414,2671,5070,5748,4765,3471,2011
,"Vilna, Lituania",6410,1965,4814,5790,4240,3241,2011
,"Cancún, México",6372,2133,4849,4871,5367,3482,2011
,"Amán, Jordania",6335,1990,4774,6016,4524,3417,2011
,"Budapest, Hungría",6310,2656,4998,6206,4745,3732,2011
,"Ankara, Turquía",6255,2418,4877,5436,4973,6864,2011
,"Antalya, Turquía",6231,1192,4421,4807,4487,4240,2011
,"Santa Cruz de Tenerife, España",6228,2703,4962,4895,5035,7684,2011
,"Tallin, Estonia",6198,1743,4598,4556,6692,6585,2011
,"Osijek, Croacia",6164,1453,4472,6073,3988,3506,2011
,"Brno, República Checa",6093,2685,4870,4723,4597,5423,2011
,"Belgrado, Serbia",5988,2128,4602,3991,4707,3077,2011
,"Budva, Montenegro",5951,2292,4637,4484,4893,2765,2011
,"San Petersburgo, Rusia",5910,3370,4998,3988,5744,4117,2011
,"Sarajevo, Bosnia y Herzegovina",5893,938,4114,4964,3857,4118,2011
,"Ereván, Armenia",5868,2586,4689,2757,4741,1743,2011
,"Poznan, Polonia",5737,1425,4188,4627,4833,7849,2011
,"Varsovia, Polonia",5723,2925,4718,3869,4470,6710,2011
,"Medellín, Colombia",5694,1172,4070,4295,3646,1992,2011
,"Buenos Aires, Argentina",5682,1950,4342,5127,4426,4907,2011
,"Sofía, Bulgaria",5666,2084,4379,4777,3858,3618,2011
,"Ciudad de México, México",5665,2060,4370,5004,3998,4259,2011
,"Taipéi, Taiwán",5630,2415,4475,5859,3318,8968,2011
,"Damasco, Siria",5611,1509,4138,4767,4204,1959,2011
,"Bogotá, Colombia",5601,1960,4294,5054,3550,4114,2011
,"Shanghái, China",5595,3247,4752,5982,4794,3022,2011
,"Caracas, Venezuela",5581,3490,4830,4828,5701,4510,2011
,"Quito, Ecuador",5496,1933,4217,5667,3926,3846,2011
,"Breslavia, Polonia",5476,2018,4234,4419,5635,5828,2011
,"Yakarta, Indonesia",5409,2408,4332,5952,2990,2470,2011
,"Cracovia (Cracovia), Polonia",5209,2343,4180,4846,3546,5044,2011
,"Guadalajara, México",5198,1491,3867,5226,4411,8908,2011
,"El Cairo, Egipto",5132,2126,4052,4613,3786,1334,2011
,"Cluj-Napoca, Rumania",5131,1096,3682,4226,3230,3486,2011
,"Bania Luka, Bosnia y Herzegovina",5127,1316,3759,4851,4180,4385,2011
,"Pekín, China",5121,2826,4297,5508,2721,3246,2011
,"Minsk, Bielorrusia",5059,1912,3929,4048,5838,2064,2011
,"Kiev (Kiev), Ucrania",5042,2630,4176,3190,4946,3932,2011
,"Monterrey, México",5036,1737,3851,3697,4429,6791,2011
,"Panamá, Panamá",5031,2174,4005,3917,3837,6973,2011
,"Kuala Lumpur, Malasia",5006,1500,3747,4509,2560,8688,2011
,"Bucarest, Rumania",4987,1674,3798,4035,3884,3468,2011
,"Constanza, Rumania",4964,1157,3597,3886,3832,4044,2011
,"Afrin, Siria",4893,543,3331,3454,5364,2434,2011
,"Lima, Perú",4883,1814,3781,5011,3981,4829,2011
,"Iasi, Rumania",4697,1679,3613,4016,2755,3409,2011
,"Skopje, Macedonia del Norte",4518,1445,3415,3635,3054,3755,2011
,"Isfahán, Irán",4499,1569,3447,3707,2953,5881,2011
,"Hanói, Vietnam",4443,3799,4212,4031,3121,5134,2011
,"Ulán Bator, Mongolia",4438,1854,3510,5597,2763,3465,2011
,"Bangkok, Tailandia",4434,2395,3702,4703,2523,2199,2011
,"Tarnów, Polonia",4400,790,3104,3368,2251,4965,2011
